userName,score,content,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
Toipi Bae,5,mohon izinkan saya akses lengkap piltur gopay later,0,5.34.1,2025-10-02 17:39:07,,
Taufik Hidayat,2,gak ngerti sama pelayanan gojek gimana apalagi drivernya. nyari driver suka lama banget apalagi habis hujan. gak kaya app ojol sebelah. pernah dapat driver posisi penjemputannya gak terlalu jauh sebenarnya tapi cuma macet tiba tiba di cancel padahal udah pake prioritas sama boost pencarian cepat itu di harga 40k an lebih. sedangkan di app sebelah posisi jemputannya lebih jauh malahan dan itupun pake fitur hemat juga dan drivernya mau. gak pakai lama langsung tancap gas bahkan saya kasih uang tip,1,,2025-10-02 17:27:54,"Mohon maaf atas ketidaknyamanannya, Kak Taufik. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Melisa",2025-10-02 23:30:48
Nafisah Assegaf,4,sejauh ini membantu sekali,0,5.34.1,2025-10-02 17:14:57,,
Paing 99,3,ongkir nya terlalu mahal sekarang,1,5.30.1,2025-10-02 17:09:59,"Mohon maaf atas ketidaknyamanannya, Kak @Paing. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Melisa",2025-10-02 23:29:36
Iveth Dewi,5,alhamdulillah anakku aman sampai dirumah. terimakasih gojek.,0,5.33.1,2025-10-02 17:08:46,,
Wirasatya Witono,5,oke... lancar...,0,5.33.1,2025-10-02 17:07:36,,
Adesri Wahyuni,5,keren..,0,5.30.1,2025-10-02 17:05:54,,
Yudhi Rismayadi,5,uhuyyy...min saran. kalau bs saldo dpt disembunyikan sm ma gopay,0,5.30.1,2025-10-02 16:56:47,,
dekarini dwi putri,1,"90% driver di berau sll minta tambah ongkos di luar aplikasi. dan minta nambahnya di luar otak, lebih 2x lipat hrganya, tolong gojek di tindak lanjutin",1,5.33.1,2025-10-02 16:44:42,"Hai Kak Dwi, mohon maaf atas ketidaknyamanannya. Jika driver meminta pembayaran lebih di luar harga akhir, laporkan melalui halaman Bantuan (pada menu Profil Saya) di aplikasi Gojek > ketik ""Driver saya meminta pembayaran lebih"" pada kolom pencarian. Semoga informasi ini membantu ya. ^Melisa",2025-10-02 23:28:32
Nyoman Andik,5,the best ❤️❤️❤️,0,5.30.1,2025-10-02 16:35:56,,
puji astuti,1,gojek sering banget telat anter makanan. alasannya karena susah dapat driver. kalau resto udah terima orderan langsung aja carikan driver ga perlu nunggu pas makanan udah mau jadi. giliran makanan udah jadi baru cari driver malah ga dapet2. lagi2 cust yg harus nunggu lama telat sampe 1 jam padahal udah pakai layanan prioritas! rugi banget bayar ongkir paling mahal ujung2nya ga gercep!,1,5.33.1,2025-10-02 16:31:07,"Mohon maaf atas kendalanya, Kak Puji. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-02 23:27:24
Irfan Safaat,3,"kalau cuaca habis hujan dapat deraeper nya suka susah paling dapat yg jauh, tolong di perbaiki aja",1,5.13.1,2025-10-02 16:16:34,"Mohon maaf atas kendalanya, Kak Irfan. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-02 23:25:54
Yogi Nabila,5,mantao,0,,2025-10-02 16:15:18,,
Ardian Setiawan,5,tolong untuk layanan gofood ada layanan Qris jadi pembayaran bisa pake Qris terimakasih,0,5.33.1,2025-10-02 16:04:34,,
Eva Rohaeti,2,knp aplikasi ny GK bisa di buka,1,,2025-10-02 16:00:36,"Hai Kak Eva, mohon maaf atas kendala yang kamu alami. Sebelum login, pastikan kamu udah pakai Gojek versi terbaru & tidak ada kendala pada akun kamu, ya. Untuk info lebih lanjut, silakan ke halaman bantuan login di aplikasi dengan cara klik ikon ""?"" > pilih ""Tidak bisa masuk ke akun Gojek"" > pilih ""Saya mendapatkan notifikasi eror"". ^Melisa",2025-10-02 23:24:35
Rio Cimol,5,gojek dah bagus...saran donk buat gojek..kalau bisa tambahkan pilihan ada yg bawa bajaj atau tvs gitu...trims...,0,5.14.2,2025-10-02 15:56:09,,
ifftah solehatun,5,okee pokoknya,0,5.33.1,2025-10-02 15:55:28,,
Putri Nabila,1,"pesanan diminta Drive untuk di batalkan karna dia ngak punya e-toll, tpi ternyata saldo kartu debit saya terpotong dan tidak lngsung dikembalikan, padahal saya tdinya mau pesan ulang malah harus pesan pembayaran tunai dengan aplikasi lain, kesel banget smpai sekarang saldo kartu debit saya belum di kembalikan, sama kalau batal ngak ketemu driver saldo pun ttp di potong 2500, gimana ceritanya kalau btal smpai 10x karna ngak ada driver yg mau 2500x10 udah brapa weee, ngak ikhlas saya kalau gini ma",1,5.20.1,2025-10-02 15:27:22,"Hai Kak Putri. Pastikan internetmu stabil dan aplikasi Gojek sudah versi terbaru. Lalu, tutup dan buka lagi aplikasimu. Jika masih berkendala, laporkan di halaman Bantuan > ketik ""Saldo hilang setelah membatalkan pesanan"" di kolom pencarian > pilih artikel > klik tombol yang ada di bawah ""Masih memerlukan bantuan?"". Kami siap membantu.^Melisa",2025-10-02 23:23:44
Edy Sahputra Sembiring,5,sipppp,0,5.33.1,2025-10-02 15:23:41,,
04 Albertus Fabian Dwi Nugroho,5,sangat membantu,0,5.33.1,2025-10-02 15:09:11,,
Misdi Sulistyo,5,keren,0,5.33.1,2025-10-02 15:03:48,,
seusal,5,Sangat membantu kita untuk berpergian,0,5.33.1,2025-10-02 14:57:10,,
Erlangga Pratama,1,dikit dikit update monyet,1,,2025-10-02 14:55:10,"Hai Kak Erlangga, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-10-03 14:18:26
Deka wira Yudha,5,calon mitra terbaik pokoknya gojek,0,5.33.1,2025-10-02 14:40:53,,
Jerigen Kotak,5,bermanfaat sampai sekarang,0,5.33.1,2025-10-02 14:32:10,,
Nawi Gope,5,sangat puas dengan pelayanan nya yang baik ramah juga terimakasih gojekk🤗,0,,2025-10-02 14:10:26,,
Asep Ari irawan,5,good job,0,5.33.1,2025-10-02 14:09:25,,
Ilar Gumilar,4,👍👍👍👍,0,,2025-10-02 14:00:07,,
Ahmad,1,saya cuma kelupaan byar paylater 20 rbu 1 hari dpat denda 50 rbu lbh besar denda dari pada hutang!!!! aplikasi pemeras pelnggan!!!,2,5.33.1,2025-10-02 13:50:41,"Hai Kak Ahmad, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika yang kamu maksudkan terkait GoPay Later dan memiliki pertanyaan lainnya, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id. ^Melisa",2025-10-02 23:20:44
Aldi Alfa rizki,5,mantap 🦕,0,5.33.1,2025-10-02 13:40:23,,
Mellyna Sari,5,memudahkan sekalihh bagi kaum mager atau lagi di tempat kerja,0,5.33.1,2025-10-02 13:36:11,,
Dwika Sadikya,3,supaya bisa memilih sepeda motor sesuai tinggi badan dan keadaan tubuh,1,5.33.1,2025-10-02 13:35:38,,
Santoso DJ,5,ok,0,,2025-10-02 13:31:15,,
Muhamad Ridwan,5,sangat bagus,0,5.33.1,2025-10-02 13:29:30,,
Monalisa Ghafoor,1,"saya sering bannaget tiapo kali pesen gojek mobil ngga ada driver yg mau nerima, giliran udah dapat drivernya di chat ngga dibales, ditambah kalau pas telvon internet selalu susah nyambung",1,5.14.2,2025-10-02 13:07:11,"Mohon maaf atas kendalanya, Kak Monalisa. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"".^Melisa",2025-10-02 23:18:43
mahfud firdaus,5,nice,0,5.33.1,2025-10-02 13:04:56,,
muhammad yudha wijaya makmur,5,"ni aplikasi mantep, bisa mesen apa aja, kaya goride buat mesen ojek, gocar buat mesen taksi, gosend buat antar jemput paket, gofood buat antar jemput makanan, intinya banyak deh yang bisa dipesen lewat aplikasi ini top deh!",0,5.33.1,2025-10-02 13:01:59,,
Lukman Simon,5,best,0,5.33.1,2025-10-02 13:01:18,,
Basir Wiwit,5,ok,0,5.33.1,2025-10-02 13:01:05,,
karlina christanty,5,seneng pol kalo pas banyak diskon,0,5.33.1,2025-10-02 12:55:41,,
Giyo Noglek,5,baik,0,5.33.1,2025-10-02 12:51:06,,
Media Bangun,1,di maps selalu gak bergerak,1,5.33.1,2025-10-02 12:50:17,"Hai Kak @Media, mohon maaf atas ketidaknyamanannya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik ""Kendala tampilan dan notifikasi"" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Melisa",2025-10-02 23:16:28
Natt Ria,5,👍,0,5.33.1,2025-10-02 12:33:50,,
Merza Klaudifa,5,pokoknya nyamanlah,0,5.33.1,2025-10-02 12:18:49,,
Ismi Ati,5,ok,0,5.33.1,2025-10-02 12:12:54,,
Devy Haikal,5,👍,0,5.34.1,2025-10-02 12:00:36,,
No Partyfc,5,"bagus ,dan cepat",0,,2025-10-02 11:53:42,,
Joy Blesings,5,layanan yang sangat membantu rakyat,0,5.32.1,2025-10-02 11:50:17,,
Athallah,5,gojek best🔥,0,5.33.1,2025-10-02 11:35:05,,
Filiana Athalia,5,Ini gopaylater gak bs d pake lg ya.. biasa beli alfagift bs bayar pake gopaylater ini skrg gak bs.. main lama makin payah aja.. pdhl gak pernah telat bayar,1,5.33.1,2025-10-02 11:25:12,"Hai Filiana, saat ini GoPayLater sudah bisa digunakan. Mohon maaf untuk kendala yang dialami. Silahkan untuk me-refresh aplikasi Gojek/GoPay terlebih dahulu. Apabila masih mengalami kendala yang sama atau ada kendala lain pada akun GoPayLater kamu, kami sarankan untuk mengirimkan email ke support@mab.co.id. ^Tria",2023-08-05 16:36:09
Ber2Satu 7an,5,Bagus,0,5.23.1,2025-10-02 11:23:56,,
Yus Herman,5,is ok,0,5.33.1,2025-10-02 11:13:30,,
Windy Aulia Palupi,5,mantap bgt,0,5.20.1,2025-10-02 11:08:43,,
Setiyo Puji Wardani Wardani,5,mantap,0,5.33.1,2025-10-02 10:51:29,,
Lexy Samuel,3,"mapping jalurnya mulai ngawur, malah kasih rute yang lebih jauh, harga jadi meningkat",0,5.33.1,2025-10-02 10:50:39,"Hai, Kak Lexy. Pastikan kamu sudah memberikan izin akses lokasi untuk aplikasi Gojek dan update ke versi terbaru, ya. Jika titik jemput masih bermasalah, laporkan melalui halaman Bantuan di aplikasi > ketik ""Rute dari/menuju lokasi titik jemput/antar saya bermasalah"" > pilih artikel dan isi formulirnya. Kami siap membantu. ^Miko",2025-10-02 12:35:31
Made wiriada,5,sangat bagus,0,5.33.1,2025-10-02 10:50:36,,
owl vape,5,baik,0,,2025-10-02 10:46:42,,
Noor Hidayah,5,gojek paling mantap,0,,2025-10-02 10:45:18,,
ruby kurniawan,5,Keren.,0,5.32.1,2025-10-02 10:29:19,,
DR 3206,1,driver minta transaksi offline dan minta bayaran lebih tapi tidak ada fitur untuk melaporkan,2,5.33.1,2025-10-02 10:12:09,"Hai Kak @DR 3206, mohon maaf atas ketidaknyamanannya. Jika driver meminta pembayaran lebih di luar harga akhir, laporkan melalui halaman Bantuan (pada menu Profil Saya) di aplikasi Gojek > ketik ""Driver saya meminta pembayaran lebih"" pada kolom pencarian. Semoga informasi ini membantu ya. ^Miko",2025-10-02 12:23:32
Asni Furaida,5,"aplikasi transportasi yg sangat membantu, tarif semakin murah krn ada mode hemat",1,5.33.1,2025-10-02 10:12:05,,
wahyu nata,5,good,0,5.30.1,2025-10-02 10:02:40,,
Anjar Tri lestari,5,Gojek skrng gk butuh duit di batalkan mulu,0,,2025-10-02 09:24:14,,
Anda Susilo,1,penipuan,1,4.56.1,2025-10-02 09:05:46,"Mohon maaf atas kejadian yang kamu alami, Kak Susilo. Gojek dan afiliasinya tidak pernah menghubungi pelanggan untuk meminta kode OTP/transfer sejumlah uang dengan alasan apapun. Silakan laporkan melalui halaman Bantuan > ketik ""Saya mengalami penipuan"" di kolom pencarian > pilih artikel dan lengkapi form-nya. Kami siap membantu. ^Miko",2025-10-02 12:20:10
Nurullina Hidayanti,5,good for everything,0,5.33.1,2025-10-02 08:41:36,,
Andhika Bimaskoro Priyadi,1,parah sih.. gopay later nya.. telat sehari denda 50rb.. pdhal cm gofood 40rban... jd 90rban bayar ny trll besar sih itu dendanya..,1,,2025-10-02 08:35:29,"Hai Kak Andhika, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan terkait layanan GoPay Later, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id. ^Miko",2025-10-02 12:17:13
Iyan Sopian,1,lu jangan asal ngasih penumpang ke driver kalau jauh bikin cs JD lama nunggu jgn mentang2 driver gacor asal ngasih aja,1,,2025-10-02 08:35:14,"Hai Kak Iyan, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-10-02 12:15:04
Laila Fitri,5,mantap,0,,2025-10-02 08:27:05,,
Koko w Lestari,5,👍👍👍,0,5.33.1,2025-10-02 08:08:27,,
Rizqie Ditty Ksatria Prakasa,5,Mantap,0,5.33.1,2025-10-02 08:03:32,,
Azka Kusakabe,1,aplikasi bego Gofood Gak bisa di batalin,1,5.33.1,2025-10-02 07:57:56,"Hai Kak Azka, mohon maaf atas ketidaknyamanannya. Terkait laporanmu, silakan laporkan melalui menu Bantuan (pada menu Profil Saya) di aplikasi Gojek dengan mengetik ""Saya perlu membatalkan pesanan"" pada kolom pencarian. Semoga informasi ini membantu kamu. ^Miko",2025-10-02 12:12:32
fung Mie,5,tepat waktu terimakasih 🙏,0,5.34.1,2025-10-02 07:49:23,,
Yistiani19 Yistiani19,1,1 jam pesen grab gx dapet2 tolol,1,5.33.1,2025-10-02 07:46:55,,
Indah fatikha,1,"udah beli voucher gojek plus, tapi gabisa dipakai.",1,5.33.1,2025-10-02 07:39:30,"Mohon maaf atas kendalanya, Kak Indah. Terkait laporanmu, pastikan kode voucher yang dimasukkan sudah sesuai, ya. Jika masih tidak bisa, silakan laporkan hal ini melalui halaman Bantuan > ketik ""Tidak bisa menukarkan kode promo"" di kolom pencarian > pilih artikel dan lengkapi form-nya. Kami siap membantu. ^Miko",2025-10-02 12:09:08
Rahasia dua,5,teman setia,0,5.33.1,2025-10-02 07:21:50,,
Robby First,1,"satu PT sama gopay ya ini, kemarin telat bayar denda 50rb, padahal pinjaman ngga seberapa, bintang 1 aja karena masukan ngga pernah di dengar.",1,5.33.1,2025-10-02 07:10:34,"Hai Kak Robby, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan terkait layanan GoPay Pinjam, silakan ceritakan lebih lanjut kepada kami melalui email ke support@findaya.com. ^Miko",2025-10-02 12:03:08
Jumadi Pomen Mediyator,5,mantap,0,5.33.1,2025-10-02 07:03:14,,
Santi Irma,5,driver ramah,0,5.33.1,2025-10-02 06:53:33,,
Akbar Laleo,5,good,0,5.33.1,2025-10-02 06:42:28,,
Nisrina AND,1,"Tolong ya ini kenapa kalau dapet driver jauhhh banget saya buru², terus malah suka langsung pada diambil jd saya gabisa cancel 😭😭😭😭😭😭",1,,2025-10-02 06:40:11,"Hai Kak Nisrina, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-10-02 12:00:39
Ines Arianto,5,very good,0,5.33.1,2025-10-02 06:24:41,,
Effendi Abdullah,4,ok,0,5.33.1,2025-10-02 05:37:27,,
Salsa Billa,2,"lama dapet nya kalo pagi pagi padahal saya butuh banget tapi driver pagi ga dapet """,1,5.33.1,2025-10-02 05:36:46,"Mohon maaf atas kendalanya, Kak Salsa. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2025-10-02 11:51:20
Felixia Mawar,3,sangat membantu cuma kadang nyari driver susah,1,5.32.1,2025-10-02 05:04:26,"Mohon maaf atas kendalanya, Kak Felixia. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2025-10-02 11:48:46
Memey,5,puas,0,5.33.1,2025-10-02 04:35:19,,
Bima Aulia,1,biaya aplikator terlalu besar merugikan customer dan Driver!!!,1,,2025-10-02 04:15:34,"Mohon maaf atas ketidaknyamanannya, Kak Bima. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Miko",2025-10-02 11:45:01
Bastian Raesa,5,ok,0,5.33.1,2025-10-02 03:31:53,,
Neli Addy,4,"tumis genjer Wagyu nya enak..pesmol ikan hiunya terlalu lembek ikannya..,puding bekicot dengan toping coklat Belgia nya oklah wortit lah untuk harga segini",0,5.31.2,2025-10-02 03:08:51,,
Aris Firdaus,5,derivernya jos,0,5.33.1,2025-10-02 03:07:42,,
Gizka Rahayu,1,"aplikasi anjing dendaan ga ngotak anjing, paylater 12k denda 50. gw lupa anjing bukanya ga mau bayar ga ngotak dendaan . doaken sing ulang payu goblog",1,5.33.1,2025-10-02 02:05:58,"Hai Kak Gizka, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan terkait layanan GoPay Later, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id. ^Miko",2025-10-02 11:43:00
Ida Bagus Made Bayu Pradnyana,4,okelah,0,5.33.1,2025-10-02 01:55:38,,
Rais Abdul Aziz,1,"MOHON UNTUK DI TINDAK LANJUTI UNTUK PERUSAHAN GOJEK !! SAYA BERLOKASI DI SUBANG KALO PESEN FOOD DI ATAS JAM 00:00 ITU ORDERAN DAPAT DRIVER NYA SUSAH MINTA AMPUN !!! TOLONG BUKA LAGI PENDAFTARAN UNTUK DRIVER BARU AGAR CUSTOMER TIDAK KAPOK PAKE GOJEK !! DI SUBANG KHUSUS NYA DRIVER GOJEK ITU SEDIKIT, MUNGKIN KALO DI RATAKAN LAGI AKAN MENDONGKRAK CUSTOMER JUGA PASTI BALIK LAGI !! DARI SEGI PROMO SUDAH SANGAT MENARIK, AYO TINGKATKAN LAGI PELAYANAN CUSTOMER UNTUK BISA ORDER DI JAM MALAM !!! TQ",1,5.33.1,2025-10-02 01:29:59,"Hai Kak Rais, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-10-02 11:40:18
Rudy Priyanto,5,sangat membantu,0,5.33.1,2025-10-02 01:24:46,,
theplague doctor,5,Sangat membantu,0,5.33.1,2025-10-02 00:37:50,,
Lamen Bilii,1,terlalu rumit cara mendaftar ny tidak menarik,1,,2025-10-01 23:39:27,,
Gisyia,5,ok,0,5.33.1,2025-10-01 23:39:05,,
Tri maulana mukhtar,5,bagus,0,5.33.1,2025-10-01 23:04:37,,
Arba'ah Miftahul Rizqi,5,Bagus,0,5.33.1,2025-10-01 22:29:27,,
surya kembar,5,Mantap,0,5.33.1,2025-10-01 22:15:17,,
Agnes Wulandari,5,ok,0,5.33.1,2025-10-01 22:11:34,,
Fz Sensei22,5,nice,0,5.28.2,2025-10-01 21:57:32,,
Aila Batik,1,slot nyoro biarkan bintang yg bicara,1,,2025-10-01 21:54:11,,
Yanto Una,1,kalo hujan ga dapet driver,1,5.33.1,2025-10-01 21:51:39,"Mohon maaf atas kendalanya, Kak Yanto. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-01 23:27:57
Adit Tedjo,5,sangat membantu dlm aktifitas kerjaan saya,0,5.33.1,2025-10-01 21:49:23,,
Bambang Nurfahri,5,Jos,0,5.33.1,2025-10-01 21:17:08,,
Akbar Pratama,5,sangat bagus,0,5.33.1,2025-10-01 21:14:50,,
Husein Taslim,5,top,0,5.33.1,2025-10-01 20:57:39,,
жизнь平和,1,"gua lagi asik main game malah muncul iklan apk ini, hadeh ganggu bat",1,5.33.1,2025-10-01 20:56:50,,
Ainun Jariyah,5,"orang nya ramah ramah, sesuai dengan yang aku ingin sipp intine",0,5.33.1,2025-10-01 20:30:50,,
Farhan Fajriyanto,3,Agak ngelag banget apk nya,0,5.26.1,2025-10-01 20:29:03,"Hai Kak Farhan, mohon maaf atas ketidaknyamanannya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik ""Kendala tampilan dan notifikasi"" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Melisa",2025-10-01 23:26:50
Igusta Ps,5,sangat membantu,0,5.33.1,2025-10-01 20:11:31,,
Agus Oke,5,Agus nya,0,5.26.1,2025-10-01 20:00:51,,
Lilis Zulfa,5,banyak voucher diskon nya👍👍,0,5.33.1,2025-10-01 19:58:12,,
Andrew Jeff,1,saya merasa kecewa bangat sama admin gojek belagu padahal baik baik buat kita jadi pelanggan setia gojek kok online buka akun ga bisa padahal baik baik alasannya sedang sibuk... lah ..aneh,1,5.33.1,2025-10-01 19:50:25,,
abel willy,5,seneng pake gojek..semua jd simple dan sat set... promo disc klu bisa lbh bnyk lg .,0,5.34.1,2025-10-01 19:48:09,,
Debby Wahyudi,3,"pertama, kolom catatan seharusnya masuk ke resto juga, tidak hanya masuk ke driver. karena akan menyebabkan miss komunikasi jika ada pelanggan yg request makanan lewat kolom tersebut. jika masuknya hanya ke driver saja. karena driver sampai resto terkadang makanan sudah langsung jadi. dan tidak semua pelanggan faham. kedua, untuk menghindari kesalahan rating, untuk penilaian rating resto keluar lebih dulu baru rating driver ke dua.",9,5.34.1,2025-10-01 19:23:30,,
syamsul hidayat,5,luar biasa,0,4.75.1,2025-10-01 19:06:01,,
Sofyan Hadi,1,"cs nya susah mau aduin komplain, ga simple banget kalo ada kendala",1,5.33.1,2025-10-01 18:56:31,"Hai Kak Sofyan, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika masih berkendala, silakan laporkan ke email customerservice@gojek.com dengan kode psr-25-274-1318-23402 di subject email. Kami tunggu detail laporan kamu ya. ^Melisa",2025-10-01 20:18:34
Candra R,2,lumayan,1,5.33.1,2025-10-01 18:47:47,,
Rice Tamudia,5,bagus,0,5.33.1,2025-10-01 18:45:58,,
bangI 89,5,mantap,0,,2025-10-01 18:41:12,,
Lukas Kusnaedi,5,nice,0,5.33.1,2025-10-01 18:30:14,,
Oppo Day,1,grab food nya ga bgt NO RECOMMENDED,1,5.32.1,2025-10-01 18:28:36,,
Hisana Tamalate,2,"drivernya sangat sangat tidak ramah terutama atas nama pak asri, di suruh tunggu 13 menit sampai kayak nunggu setahun, tolong drivernya di suruh sopan santun bukannya sampai mengancam mau memukul pihak resto. tolong🙏🙏",1,,2025-10-01 18:19:20,"Hai Kak Hisana, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver kurang sopan"" pada kolom pencarian ya. ^Melisa",2025-10-01 20:13:31
Puja,1,tarifnya makin mahal sekarang 🤣,1,5.21.1,2025-10-01 18:10:45,"Mohon maaf atas ketidaknyamanannya, Kak Puja. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Melisa",2025-10-01 20:12:08
Megawati J Akbar,5,transportasi yg aman dan nyaman,0,5.24.2,2025-10-01 17:49:19,,
Rudi Mirdal,5,bagus,0,5.33.1,2025-10-01 17:49:11,,
Frederick chrollo,1,"lu ngiklan dimana mana, ampe disearch play store juga ganggu gua nyari aplikasi aja",1,,2025-10-01 17:49:05,,
tribudi anto,5,sangat bagus,0,5.21.1,2025-10-01 17:42:10,,
Junita Ayu,5,aplikasi yg sangat amat membantu disaat lagi mager,0,5.33.1,2025-10-01 17:36:39,,
Evi Marliana,5,bagus sekali,0,5.34.1,2025-10-01 17:33:54,,
Epri Soesetiyo,5,aplikasi terbaik,0,5.33.1,2025-10-01 17:17:46,,
Fahrul Rozi,5,mudah dalam mencari transportasi,0,5.33.1,2025-10-01 16:55:52,,
Indra Afril liya,5,good,0,5.32.1,2025-10-01 16:51:51,,
Adhyta Ramadhany,1,"gojek jangan pelit donk SM driver/rider. kasih insentif kyk dulu LG. masa' sy pesan lebih 30 menit ga ada yg ambil order sy. motor mobil berbagai prioritas, ga ada yg ambil",1,5.33.1,2025-10-01 16:33:58,"Mohon maaf atas kendalanya, Kak Adhyta. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-01 20:09:52
